Current_season,Month,Previous_flu_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,NOV,2022-23,Alaska,0.1082,0.114,-0.0058,4460,4701,41226,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Alabama,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Arkansas,0.1871,0.2384,-0.0513,28889,36813,154434,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,American Samoa,0.1537,0.466,-0.3123,535,1622,3481,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Arizona,0.1267,0.1589,-0.0322,46460,58267,366688,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,New York City,0.2546,0.2782,-0.0236,98258,107367,385957,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,California,0.1474,0.1794,-0.032,289892,352756,1966287,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Chicago,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Colorado,0.2366,0.2717,-0.035,64934,74551,274405,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Connecticut,0.3281,0.3385,-0.0104,50412,52010,153657,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,District of Columbia,0.2128,0.2454,-0.0326,6811,7855,32005,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Delaware,0.2132,0.2479,-0.0347,9629,11194,45161,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Florida,0.112,0.1344,-0.0224,105398,126492,941363,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Federated States of Micronesia,0.0749,0.0957,-0.0207,579,739,7726,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Georgia,0.1314,0,0.1314,71926,0,547437,5-8 years,Higher by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Guam,0.0606,0.0427,0.0179,755,532,12460,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Hawaii,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Iowa,0.1959,0.2397,-0.0439,31547,38611,161075,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Idaho,0.1358,0.1672,-0.0314,13530,16660,99629,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Illinois,0.1715,0.2056,-0.0341,104269,124974,607964,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Indiana,0.1447,0.1728,-0.0282,50248,60031,347351,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Kansas,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Kentucky,0.1324,0.1666,-0.0342,29466,37082,222571,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Louisiana,0.1025,0.1269,-0.0244,24803,30712,242051,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Massachusetts,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Maryland,0.2452,0.273,-0.0278,72589,80807,295984,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Maine,0.2717,0.347,-0.0754,14608,18661,53773,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Marshall Islands,0.0744,0.0861,-0.0117,501,580,6738,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Michigan,0.153,0.1365,0.0165,71519,63818,467559,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Minnesota,0.2135,0.2533,-0.0398,62191,73781,291284,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Missouri,0.1435,0.1729,-0.0295,43456,52376,302877,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,N. Mariana Islands,0.4303,0.3713,0.059,1299,1121,3019,5-8 years,Higher by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Mississippi,0.0639,0.0884,-0.0245,9562,13222,149649,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Montana,0.1379,0.1595,-0.0216,7162,8284,51927,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,North Carolina,0.1821,0.176,0.0061,91883,88814,504671,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,North Dakota,0.2159,0.248,-0.0321,9090,10442,42112,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Nebraska,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,New Hampshire,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,New Jersey,0.2528,0.2735,-0.0208,107040,115830,423451,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,New Mexico,0.138,0.1757,-0.0377,14397,18325,104306,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Nevada,0.1044,0.1303,-0.0259,16211,20226,155213,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,New York,0.2022,0.2539,-0.0517,101834,127882,503705,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Ohio,0.1594,0.1822,-0.0228,90816,103801,569627,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Oklahoma,0.1008,0.1234,-0.0226,21677,26540,215130,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Oregon,0.1737,0.1966,-0.0228,33488,37893,192782,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Pennsylvania,0.2163,0.2507,-0.0344,108236,125459,500397,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Philadelphia,0.1571,0.3203,-0.1632,12409,25295,78981,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Puerto Rico,0.0202,0.0313,-0.0112,2381,3699,118083,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Rhode Island,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Republic of Palau,0,0.0032,-0.0032,0,3,928,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,South Carolina,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,South Dakota,0.2261,0.2647,-0.0385,11143,13042,49273,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Houston,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,Tennessee,0.1386,0.1775,-0.0389,46208,59196,333492,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Texas,0.1073,0.1277,-0.0204,179090,213110,1668393,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Utah,0.1766,0.2293,-0.0527,36370,47220,205956,5-8 years,Lower by 5 percentage points or greater,Child
2024-25,NOV,2022-23,Virginia,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,NOV,2022-23,U.S. Virgin Islands,0.0137,0,0.0137,76,0,5553,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Vermont,0.2757,0.3243,-0.0486,6854,8061,24859,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Washington,0.1893,0.2136,-0.0243,71450,80629,377461,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Wisconsin,0.2153,0.2463,-0.031,59231,67757,275092,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,West Virginia,0.1074,0.1362,-0.0288,8583,10887,79949,5-8 years,Within 5 percentage points,Child
2024-25,NOV,2022-23,Wyoming,0.1155,0.1442,-0.0287,3409,4257,29524,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Alaska,5e-4,5e-4,0,19,19,41226,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Alabama,0.0018,0.0012,6e-4,423,289,239102,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Arkansas,2e-4,5e-4,-3e-4,32,81,154434,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,American Samoa,0,0.0388,-0.0388,0,135,3481,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Arizona,0.0019,0.0014,5e-4,698,511,366688,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,New York City,0.0064,0.0072,-8e-4,2467,2795,385957,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,California,0.0011,0.0031,-0.0021,2093,6153,1966287,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Chicago,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Colorado,0.0025,0.0022,3e-4,685,599,274405,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Connecticut,0.01,0.0105,-5e-4,1535,1618,153657,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,District of Columbia,0.002,0.0018,2e-4,63,58,32005,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Delaware,0.0014,0.0016,-2e-4,63,74,45161,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Florida,0.0035,0.0036,0,3309,3350,941363,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Federated States of Micronesia,5e-4,0,5e-4,4,0,7726,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Georgia,0,0,0,0,0,547437,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Guam,0.0051,0,0.0051,64,0,12460,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Hawaii,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Iowa,3e-4,6e-4,-3e-4,44,100,161075,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Idaho,4e-4,3e-4,1e-4,35,30,99629,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Illinois,0.0026,0.0026,1.6448e-6,1574,1573,607964,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Indiana,0.0013,9e-4,4e-4,448,303,347351,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Kansas,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Kentucky,0.0017,0.0015,2e-4,372,334,222571,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Louisiana,7e-4,7e-4,0,162,172,242051,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Massachusetts,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Maryland,0.0029,0.0035,-6e-4,863,1035,295984,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Maine,0.0269,0.0327,-0.0058,1448,1760,53773,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Marshall Islands,0,0.005,-0.005,0,34,6738,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Michigan,0.0022,0.0021,1e-4,1043,991,467559,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Minnesota,0.0012,0.0026,-0.0013,358,747,291284,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Missouri,6e-4,9e-4,-3e-4,183,263,302877,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,N. Mariana Islands,0.0053,0,0.0053,16,0,3019,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Mississippi,3e-4,5e-4,-3e-4,38,78,149649,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Montana,6e-4,4e-4,2e-4,32,20,51927,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,North Carolina,0.0024,0.0027,-2e-4,1220,1344,504671,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,North Dakota,5e-4,0.0012,-7e-4,21,52,42112,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Nebraska,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,New Hampshire,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,New Jersey,0.0103,0.0108,-5e-4,4362,4589,423451,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,New Mexico,0.0019,0.0012,7e-4,202,125,104306,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Nevada,0.0022,0.0019,3e-4,338,288,155213,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,New York,0.0033,0.0036,-2e-4,1684,1800,503705,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Ohio,0.0021,0.0016,5e-4,1182,915,569627,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Oklahoma,2e-4,4e-4,-1e-4,49,80,215130,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Oregon,5e-4,6e-4,0,104,113,192782,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Pennsylvania,0.0022,0.0028,-6e-4,1106,1407,500397,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Philadelphia,0.0023,0.0031,-8e-4,183,245,78981,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Puerto Rico,0.0011,0.002,-9e-4,130,239,118083,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Rhode Island,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Republic of Palau,0,0,0,0,0,928,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,South Carolina,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,South Dakota,2e-4,5e-4,-3e-4,12,25,49273,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Houston,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,Tennessee,0.0031,0.0022,0.001,1048,726,333492,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Texas,0.0014,0.0012,2e-4,2333,1989,1668393,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Utah,0.0017,0.0021,-4e-4,346,424,205956,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Virginia,NA,NA,NA,NA,NA,NA,5-8 years,Not Available,Child
2024-25,AUG,2023-24,U.S. Virgin Islands,0,0,0,0,0,5553,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Vermont,6e-4,1e-4,5e-4,15,3,24859,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Washington,0.0027,0.0032,-5e-4,1019,1197,377461,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Wisconsin,6e-4,0.0014,-8e-4,166,393,275092,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,West Virginia,2e-4,6e-4,-4e-4,17,47,79949,5-8 years,Within 5 percentage points,Child
2024-25,AUG,2023-24,Wyoming,3e-4,6e-4,-3e-4,9,17,29524,5-8 years,Within 5 percentage points,Child
2024-25,OCT,2022-23,Alaska,0.1514,0.1472,0.0043,83659,81295,552427,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Alabama,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Arkansas,0.1516,0.1761,-0.0244,353432,410407,2330808,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,American Samoa,8e-4,0.005,-0.0042,25,157,31335,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Arizona,0.1283,0.1438,-0.0156,740768,830636,5774978,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,New York City,0.1244,0.141,-0.0166,815829,924910,6559310,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,California,0.2,0.2052,-0.0053,6114495,6275286,30576844,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Chicago,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Colorado,0.224,0.2304,-0.0063,1021080,1050013,4557684,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Connecticut,0.2199,0.2312,-0.0114,623971,656230,2838054,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,District of Columbia,0.1343,0.1415,-0.0071,78355,82524,583228,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Delaware,0.2219,0.2686,-0.0467,173589,210085,782153,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Florida,0.1312,0.1459,-0.0147,2294050,2551556,17482580,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Federated States of Micronesia,0.0284,0.0511,-0.0227,1892,3408,66724,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Georgia,0,0,0,0,0,8210067,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Guam,0.0598,0.0276,0.0322,6850,3167,114544,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Hawaii,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Iowa,0.2177,0.2057,0.012,530754,501544,2438002,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Idaho,0.158,0.1699,-0.0119,217361,233784,1375870,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Illinois,0.1892,0.2138,-0.0246,1856090,2097391,9809562,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Indiana,0.1652,0.1817,-0.0166,856931,943001,5188514,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Kansas,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Kentucky,0.1646,0.1845,-0.0198,572174,641082,3475334,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Louisiana,0.1271,0.1355,-0.0084,452994,482984,3564038,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Massachusetts,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Maryland,0.2163,0.2316,-0.0153,1021446,1093580,4721883,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Maine,0.2747,0.3236,-0.0489,302698,356579,1101973,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Marshall Islands,0.0205,0.0271,-0.0066,974,1290,47529,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Michigan,0.1908,0.215,-0.0242,1495577,1685403,7839742,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Minnesota,0.2256,0.2584,-0.0328,982668,1125723,4356123,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Missouri,0.1739,0.1988,-0.0249,831096,950116,4780119,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,N. Mariana Islands,0.1033,0.1154,-0.0121,3727,4163,36075,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Mississippi,0.1,0.0952,0.0048,227331,216414,2273653,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Montana,0.1571,0.1694,-0.0124,133644,144181,850894,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,North Carolina,0.1488,0.0712,0.0776,1234254,590226,8294423,18+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2022-23,North Dakota,0.2106,0.2338,-0.0232,122951,136491,583680,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Nebraska,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,New Hampshire,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,New Jersey,0.1354,0.1357,-3e-4,941082,943065,6947836,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,New Mexico,0.1799,0.2152,-0.0354,293884,351651,1633828,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Nevada,0.147,0.1698,-0.0228,358882,414508,2440679,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,New York,0.1626,0.2006,-0.038,1429220,1763469,8789112,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Ohio,0.1838,0.1983,-0.0146,1676736,1809534,9124576,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Oklahoma,0.1207,0.1248,-0.0041,365358,377899,3027263,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Oregon,0.2109,0.2059,0.005,712929,696108,3380729,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Pennsylvania,0.1914,0.2186,-0.0272,1707959,1950781,8922762,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Philadelphia,0.1367,0.2356,-0.0988,169493,292040,1239735,18+ years,Lower by 5 percentage points or greater,Adult
2024-25,OCT,2022-23,Puerto Rico,0.0724,0.0803,-0.0079,189936,210796,2624172,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Rhode Island,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Republic of Palau,4e-4,2e-4,2e-4,7,4,16583,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,South Carolina,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,South Dakota,0.2165,0.2234,-0.007,145943,150630,674238,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Houston,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,Tennessee,0.1561,0.1699,-0.0138,838946,912860,5373433,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Texas,0.0695,0.0655,0.004,1523409,1435945,21925627,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Utah,0.1857,0.2077,-0.022,430985,482078,2320603,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Virginia,NA,NA,NA,NA,NA,NA,18+ years,Not Available,Adult
2024-25,OCT,2022-23,U.S. Virgin Islands,0.0143,1e-4,0.0142,1163,5,81507,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Vermont,0.2301,0.2777,-0.0476,117401,141676,510181,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Washington,0.2116,0.2115,1e-4,1275348,1274829,6027818,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Wisconsin,0.2352,0.2674,-0.0322,1075930,1223334,4574131,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,West Virginia,0.157,0.1603,-0.0033,224256,228943,1428520,18+ years,Within 5 percentage points,Adult
2024-25,OCT,2022-23,Wyoming,0.1371,0.1461,-0.009,61591,65635,449237,18+ years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Alaska,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Alabama,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Arkansas,0.1248,0.1385,-0.0137,153458,170318,1229950,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,American Samoa,0.0345,0.0163,0.0182,704,333,20418,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Arizona,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,New York City,0.1425,0.1416,9e-4,534848,531467,3752487,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,California,0.1791,0.1828,-0.0037,3112999,3176491,17380305,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Chicago,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Colorado,0.2026,0.2153,-0.0127,532482,565812,2627928,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Connecticut,0.2093,0.2354,-0.0262,300071,337569,1433821,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,District of Columbia,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Delaware,0.1669,0.1998,-0.0329,63965,76562,383258,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Florida,0.0948,0.0986,-0.0038,809216,841255,8532850,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Federated States of Micronesia,0.0558,0.0495,0.0063,2770,2459,49666,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Georgia,0.1211,0,0.1211,559366,0,4619939,18-49 years,Higher by 5 percentage points or greater,Adult
2024-25,JAN,2023-24,Guam,0.0488,0.0486,2e-4,3455,3438,70741,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Hawaii,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Iowa,0.1955,0.1998,-0.0043,249942,255416,1278429,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Idaho,0.1224,0.1327,-0.0102,91547,99203,747775,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Illinois,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Indiana,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Kansas,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Kentucky,0.135,0.1509,-0.0159,246922,275934,1829101,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Louisiana,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Massachusetts,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Maryland,0.2085,0.2028,0.0057,523799,509497,2512075,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Maine,0.2438,0.2458,-0.002,123780,124790,507668,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Marshall Islands,0.0353,0.0303,0.005,1273,1092,36097,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Michigan,0.1671,0.1678,-6e-4,669669,672204,4006528,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Minnesota,0.2269,0.2397,-0.0128,525423,555006,2315421,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Missouri,0.1394,0.1566,-0.0172,348425,391330,2499695,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,N. Mariana Islands,0.1302,0.1388,-0.0085,2644,2817,20301,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Mississippi,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Montana,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,North Carolina,0.1171,0.1134,0.0037,518166,501620,4423448,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,North Dakota,0.1715,0.1971,-0.0256,56538,64972,329715,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Nebraska,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,New Hampshire,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,New Jersey,NA,NA,NA,NA,NA,NA,18-49 years,Not Available,Adult
